Customer,location,Review
megha w,"London, United...","I've been having a nightmarish time with Make my trip and would recommend people to AVOID IT. I had used them to book international flights from Delhi to London more than a year ago. Later, I cancelled that flight and booked another carrier departing the same time and date. At that time, I had to use their phone support, since for some reason I was just unable to cancel my flight online. I didn think much about it, but now am facing the brunt of it - their phone support staff did not bother to send me a confirmation. Every time I called I would get a different representative who would 'look into it' and ultimately do nothing. Its been over a year now and I am still awaiting my refund. On top of which i just received a random mail saying the company has no records of my cancellation and I need to provide more paperwork. Its terrible service.Since then, I have been trying to reach them - am unable to contact them via phone - havent gotten replies via mails and while their local office seemed completely clueless and unequipped to deal with any issue and prefer beating round the bush. This has been a horrible experience for me. As a frequent flyer - this has been the first and the last time I used this service."
Mehindirattaz,"Toronto, Canada","you would be absolutely wrong, incorrect. I had a very bad experience with them. they are not up to speed with othe e travel site. try not to book with them if you want a seamless transaction.you would be absolutely wrong, incorrect. I had a very bad experience with them. they are not up to speed with othe e travel site. try not to book with them if you want a seamless transaction."
Pallavi A,"Secaucus, New...",Those people SUCK!!!!!!!!!!!! X-(ur so true..... AVOIDDDDDD people DONT USE IT atalllll...........Those people SUCK!!!!!!!!!!!! X-(ur so true..... AVOIDDDDDD people DONT USE IT atalllll...........
Pallavi A,"Secaucus, New...",They have saved and used my card details for some other customer..... that too a very huge amount.........and to refund they take their own timeeeee............. more than 3 monthsssssssssss..............My friend had a similar issue...........They have saved and used my card details for some other customer..... that too a very huge amount.........and to refund they take their own timeeeee............. more than 3 monthsssssssssss..............My friend had a similar issue...........
John L,Atlanta,"Makemytrip.com website really sucks. They are money minded. Once you purchase tickets from them, you are dead in water. Cancellation fees are huge. No help will be provided. Funny representatives. They cannot even speak good English. They always say ""cross checking with Airlines"" which sounds funny, LOL. I do not recommend buying tickets from them. Its worth purchasing tickets directly from airlines though it costs you couple of bucks more rather than chasing these ""sales agents"". Lesson learnt. Hope my review helps others."
Asif A,"Cleveland, Ohio","I have traveled multiple times from USA to India. Everytime I have either used the airline website or Orbitz to book the airticket. Once I had to use MakeMyTrip (MMT) since I was not getting a good deal from any other sources. There were no issues when I went to India but when I was coming back I had to postpone my ticket by one week for personal reasons and I had promptly informed them about it and paid a sum of $175 toward the date change fee. And now the dram starts!!I take my flight from Kochi to Dubai which was a Jet Airways flight and since my carrier from Dubai to US is United, Jet airways staff was 'unable' to issue a boarding pass for the whole trip. I believed that and landed in Dubai airport just to find out that when I made the request for postponing the ticket, MMT staff who was handling my case 'forgot' to change the date for my segment from Dubai to Washington!!!!! Jet Airways staff said that they could not do anything and United staff was ready to issue me a ticket if I paid them an extra $250 for the getting a new ticket, hell yeah, $250 bucks fine for the mistake done by MMT staff. I was obviously not ready to do that! Then I run across the whole of Dubai airport trying to negotiate with Jet Airways and United staff whose offices are located at two extremes of the airport which was totally worthless. I was almost at the verge of breaking down and then I decided to call these idiots at MMT up and I get a reply that they can not reissue the ticket because their system is 'down' for maintenance!! (WT**) All they wanted me to do was to pay the additional $250 and they promised me that I would get my money refunded into my bank account once I reach there. Duh, as usual I trusted them.After reaching the States, I call them as the first thing and request them to refund and sent them the receipt. I also provided them with my bank account and specifically requested that I should get the whole amount in toto $250 refunded back to my bank account in the States rather than sending it to my Dad's credit card which I had used to pay the initial $175. After 2 week long wait I get a 'friendly' email from MMT saying that they have 'split' up the amount 'the way the liked it' and transferred $175 to my Dad's credit which I have no access to when I am the states and the rest $75 to bank account in states which till date (1.5 week has passed since this incident) I have not received! When I call them up to get an explanation for this and to request them redirect the amount to my account in the States since I have no access to my Dad's credit card, the following are the different explanations I got from various MMT staff during the umpteen number of times I have tried to reach them- This is your problem, not ours to deal with- This is the way we have done it and we CAN NOT change it- I don't know what you are saying, what you are saying does not make sense to me- You can do or say whatever you want, but unfortunately we can not change what we have done nowAWESOME!! I pay them thousands of dollars for an airticket out of which they get a huge commission, and they get extra money since i postponed my ticket which by mistake they 'forgot' to change completely, and then torture me with the money transfer dramaSeriously, if I am ever taking a flight in my life, ever again, I am never ever going to book with these guys after they have treated me like shi*. Also to my fellow travelers, I would recommend to stay away from these guys since they have a really bad customer service and would probably try to torture you with all the drama like what happened at the Dubai airport and like what is currently going on. I really hope that they would at least refund my 75 out of 250 to my bank account for which I am pretty sure that I will have to make another 10-15 callsGood luck with your travel guysPeace"
Rinto C,"Barnsley, England...","Please dont trust Make My Trip site and waste your time and money. We have booked 5 tickets from cochin to banglore on the 12th jan and on the 11th jan we got a call telling us that all the flights scheduled for that week has been cancelled and they are sorry for the inconvenience this may have caused us. When we rang the airlines which issued the ticket for us, they told us that they have informed Make My Trip agency on the 25th of Dec about the cancellations.Total disappointment..."
SameerDsouza,Pune,"Srs TravelsSrs travels have been our official tourism partner for a long time now. The company and its services are simply wow. We often utilize the Srs travels buses for all sorts of journeys, be it long tours or short trips. Booking the services offered by Srs travels online also helps save a lot of important time. makemytrip.com/bus-tickets/srs-travels-chni-…Srs TravelsSrs travels have been our official tourism partner for a long time now. The company and its services are simply wow. We often utilize the Srs travels buses for all sorts of journeys, be it long tours or short trips. Booking the services offered by Srs travels online also helps save a lot of important time. makemytrip.com/bus-tickets/srs-travels-chni-…"
Zulphee I,"Abu Dhabi, United...","I recently booked for a package tour, and they collected from me 30% of the package cost as an advance. Unfortunately I cancelled the plan as my MOM is seriously sick. I request for a postpone for 6 months and they rejected and went with cancellation, even no humanitarian consideration. Initially they keep silent about their cancellation policy. So those who can make sure about the plan only book through them. Actually the 30 % they collecting is the money you are not going to get back if you plan to change the travel plan. Their cancellation policy is that they deduct 30% of package cost once you cancel the plan before 15 days.Even the high end companies have a very less cancellation fees than them. So what we can understand is that the 30% is the profit they are taking for each which they collect as advance.So all people who want to use them be prepare for this risk.I recently booked for a package tour, and they collected from me 30% of the package cost as an advance. Unfortunately I cancelled the plan as my MOM is seriously sick. I request for a postpone for 6 months and they rejected and went with cancellation, even no humanitarian consideration. Initially they keep silent about their cancellation policy. So those who can make sure about the plan only book through them. Actually the 30 % they collecting is the money you are not going to get back if you plan to change the travel plan. Their cancellation policy is that they deduct 30% of package cost once you cancel the plan before 15 days.Even the high end companies have a very less cancellation fees than them. So what we can understand is that the 30% is the profit they are taking for each which they collect as advance.So all people who want to use them be prepare for this risk."
Zulphee I,"Abu Dhabi, United...",That is right their cancellation policy is not good and the prevailing cancellation rates are very very high.That is right their cancellation policy is not good and the prevailing cancellation rates are very very high.
liquidcool,Dublin,"Hi,  Has anyone used this website before? They are asking me to send them a scanned copy of my credit card even though they have already taken payment for the tickets. Seems dodgy. Any thoughts? Hi,  Has anyone used this website before? They are asking me to send them a scanned copy of my credit card even though they have already taken payment for the tickets. Seems dodgy. Any thoughts? "
GyanBaba,"Nuremberg, Germany",They are good for nothing and my suggestion is just stay away from them.They are good for nothing and my suggestion is just stay away from them.
Zulphee I,"Abu Dhabi, United...","Perfectly right they are careless once they receive the first 30% of money, they don't care whether you travel or not completed the booking. If you deal with Airline companies directly that is better than these people. I booked a ticket with JET AIRWAYS, for my trip and booked the land arrangement with MAKE MYTRIP. Due to some emergency situation I was forced to cancel the trip and JET AIRWAYS promptly reimbursed my fares. But these people had eaten up my whole money, there is some peanuts they promised to give, even that is not yet credited back. Please don't rely or trust on these type of agents, before doing any bookings please be clear about the cancellation policies"
Naveen P,"Bengaluru, India","This site used to be ok to use. But I think they've gone a bit rogue now. In the last couple of weeks I've tried to book two flight tickets online using my India debit card. Both times, the card was charged and later I got an email from makemytrip saying that my booking has been cancelled and my money will be refunded in 7-10 days. When I called them, they said there were no seats on the flight. The first time I thought maybe this was a one time issue and booked over the phone. They charged me more than what the online fare was after I gave them all my debit card info. The second time also they said the cancellation was becasue there were no seats on the flight (then why the heck do they display it as available online!). But this time I booked on the airline's website directly. Not only were the seats available, but I also got a better price. So my advice - use makemytrip to just find out what flights/schedules are available and then book directly through the airline's website."
pcguna,Bangalore...,"Never ever use makemytrip services for anything i booked golden quad trip through make my trip . they inturn hired the services of hliday himachal .  our holiday went for a task with the kind of services i received from the vehicle driver and because of his bad attitude . we could not cover most of our destinations . he was adamant and telling he is owning 9 cars all attached to Himachal tours .. he forced us to listen to his terms ,, our entire trip has went for a task .. following is the painful journey with the bad driver .. Day 1- 9-02 we were waiting for the call from driver in the morning 9 am .. even Himachal tour people have sent one number which i have dialed multiple time . but no one was picking up that . later on i called you and called himchal tour people . i took the correct number of the taxi driver and i spoke to him . he was telling their company had given wrong number of main .. by that time it was 11:30 . so we started our tour at 12 pm .. because of that i could able to cover only redfort / swamy narayan temple and Kutub minar ( at the closing time ) .. he forcefully took us to something called their company outlet and made us to buy .. because of delay from his end we could not cover many places on first day like ... india gate .. lotus temple ... presidents house .. and many  Day 2 -- 10-02 We started our journey from delhi to jaipur at morning 5 :15 .. but un fortunately we reached jaipur at 12 :15. He was driving the vehicle at maximum speed of 60 kms /hr . he was telling its his standard speed . at times he used to cross 70 kms /hr .. 7 hours to reach jaipur from delhi is heights of stupidity .. in between he gave break at one of his dhaba .. which was real stupid .. one single partha of the worst quality costed us 80 rs .. after seeing ambar fort he forced us to visit his showroom to purchase .. though we were loosing the time he was least bothered . by 4 :45 we could able to cover only two places. he left us near city palace at 4 :45 .. where as closing time for all the monuments are 5 pm .. because of his stupidity we could not see places like ,, hawa mahal .. couple of museums.. alberts hill .. jantar mantar etc. finally at 8 .30 pm he left us in the hotel . Though hotel address was simple and easy to find out he made us to sit in the car for more than 1 hour .. it was done purposefully . finally i got down from the car and asked the people for the directions .  Day 3 - 11- 02   since we wanted to cover most of the places like fathepur and agra We asked him to report at hotel at 8 am ..but stupid guy reported at 9 :15.. i called him more then 5 times to remind him to report early but he said its taking time to get ready . 9 :15 we took the car and requested him to show the jantar mantar .. but he asked us to pay 60 rs for the parking .. after seeing jantar mantar we left jaipur at 11 . .. purposefully he started driving slowly 60 t0 70 kms .. his intentions were clear . at 12:40 he stopped near a hotel and said he would like to take the breakfast .. we said we are loosing the time but he said we should take the food in that hotel and its his right to take a break of 1 hour in the after noon . after having lunch he started chatting with some of his friends for more then 10 mints to waste the time . during that time i called Make my trip and take the action . Unfortunately nothing has happened.... in the parking lot we had ugly and bad fight with that guy .. later on he started driving little fast .. we reached fathepur sikri at 3 pm .. guide over in fathepur sikri said it will take more then 1 hour to reach agra .. we can make a choice either fathepur sikri or taj .. so without seeing fathepur we left to agra ... we reached agra by 4 :30 and went inside the taj 5 :30.. we had literally touch and go situation to buy the tickets .. luckly because of a police officer we had 30 mints of time to see the Taj . for guide appointed by driver we paid 150 rs. later he took us to some marble showroom .. for small taj miniature we paid 500 . .. later we started our journey to Mathur .. Driver said mathura temple would be open until 10 pm .. we reached mathura by 9 :30. but fact was by 8 :30 they will lock the mathura temple .. even we could not mathura also .Day 4- From our hotel to Airport .. He had put all wet blankets in the back seat . All our dress got wet . He was telling since car was dirty he socked the back seats with the water . inspite of all this i paid him tips .  So our entire tour went for a task because of one driver and poor services by make my trip .. though i requested you to change the driver first day .. why you did not change him . he was telling he is a owner of that car + 9 other cars .. and he enforced his terms and conditions .. we missed many of our places during the tour .. we hardly got any time to see the places ..  My question is if you can not keep up your promise then why MMT is doing taxi booking. Why are you relaying on companies like Himchal tours who can not provide quality services .. Do you think this is called services ? I am highly disappointed with your services . I am really planning publish this horrible story in all the sites so that other travelers like me should not go through the same services from Make my trip  Guna +9109886288721"
Kamaljit S,Sunnyvale,"Their service is pathetic, It will be easy for you to get the things book, but if there is problem then you are alone to solve it, they won't provide you good support. Moreover the information they display is also some times incorrect.Their service is pathetic, It will be easy for you to get the things book, but if there is problem then you are alone to solve it, they won't provide you good support. Moreover the information they display is also some times incorrect."
Wishwajeet,"Mumbai, India","Hi, This is Anil. I want to know what is the process after paying for an INternational Tour thru MakemyTrip. I have already made the payment but on the receipt the email and mobile is not mine. Also I have no other confirmation on the tour except the Payment receipt. That too is a snapshot and not a PDF of a soft copy.Regards,Anil G.Hi, This is Anil. I want to know what is the process after paying for an INternational Tour thru MakemyTrip. I have already made the payment but on the receipt the email and mobile is not mine. Also I have no other confirmation on the tour except the Payment receipt. That too is a snapshot and not a PDF of a soft copy.Regards,Anil G."
SanjeevGarg,"New Delhi, India","I had a very bad experience with makemytrip. I have done a booking, booking ref below NH2P10422019165 and this was confirmed booking. Yesterday I received a call that your booking is cancelled as hotel is already full. So I had to cancel my booking. This is very wrong if they do not have inventory they should not book it confirmed. I have already booked my train tickets and cab etc. I was a permanent customer of makemytrip but seeing this I will not be doing any further transactions with makemytrip and will not also recommend to anyone.I had a very bad experience with makemytrip. I have done a booking, booking ref below NH2P10422019165 and this was confirmed booking. Yesterday I received a call that your booking is cancelled as hotel is already full. So I had to cancel my booking. This is very wrong if they do not have inventory they should not book it confirmed. I have already booked my train tickets and cab etc. I was a permanent customer of makemytrip but seeing this I will not be doing any further transactions with makemytrip and will not also recommend to anyone."
Mini S,New Jersey,They are the worst people I have dealt with. They made the trip hell for my elderly parents who were travelling alone to India. The agent who booked my parents for this trip booked for them separate Internation and Domestic sectors. So when my parents took the connecting flight within India they had to pay Rs.6000/kg as domestic extra baggage fees ( which came out to almost $500 each way) .As some of you may know that travelling international you are allowed 2 bags 50lbs (23kg) each but in domestic they would allow my parents to carry only 1 bag 44lbs It is the most ridiculous thing I have heard. My parents are american citizens and for them to be able to carry international baggage till India and then pay for the rest was stupid on the part of the airlines. they lost almost $1000 over this fuss.And they had the nerve to blame my parents for this mistake that we did not consider that. and they have the worst customer service I can imagine everyone puts you on hold for almost 30 minutes minimum.I DO NOT RECOMMEND THEM TO ANYONE. IF I HAD ANYTHING LESS THAN A STAR I WOULD RATE THAT
Somnath Chatterjee,"Bengaluru, India",Makemytrip is a reliable travel agent. We recently took their LADDHAK package and came back fully satisfied at the quality of service and the resonable costMakemytrip is a reliable travel agent. We recently took their LADDHAK package and came back fully satisfied at the quality of service and the resonable cost
Anupa D,Los Angeles...,I have purchased a ticket from makemytrip.com. Pinara Mitesh Satish was customer service rep and he was the helping me and the ticket cost was $1360.00. The conversion rate for the one dollar was RS 55.00 but Pinara charging me at the rate of RS 50.00. He was extremely rude and I was on the phone for hour and half talking to him. Finally I spoke to the supervisor and she was supposed to give me a credit of $20.00 and she ask me to wait for 2 business day to see the amount being credit to the credit card. It's been 10 day and I haven't seen the amount being credited and I called the Customer service for refund. There are playing blaming game and no one wants to give me a credit.I would high RECOMMEND purchasing the ticket from another website.I have purchased a ticket from makemytrip.com. Pinara Mitesh Satish was customer service rep and he was the helping me and the ticket cost was $1360.00. The conversion rate for the one dollar was RS 55.00 but Pinara charging me at the rate of RS 50.00. He was extremely rude and I was on the phone for hour and half talking to him. Finally I spoke to the supervisor and she was supposed to give me a credit of $20.00 and she ask me to wait for 2 business day to see the amount being credit to the credit card. It's been 10 day and I haven't seen the amount being credited and I called the Customer service for refund. There are playing blaming game and no one wants to give me a credit.I would high RECOMMEND purchasing the ticket from another website.
liquidcool,Dublin,"Hi,  Has anyone used this website before? They are asking me to send them a scanned copy of my credit card even though they have already taken payment for the tickets. Seems dodgy. Any thoughts? Hi,  Has anyone used this website before? They are asking me to send them a scanned copy of my credit card even though they have already taken payment for the tickets. Seems dodgy. Any thoughts? "
SuhanaKalra,New Delhi,If you are thinking of travelling by air and want to book Cheap Air Tickets then Makemytrip brings to you the finest offers that you can ever avail of air travel. Click here to get the most inexpensive flight tickets and make it your destination within hours. visit http://www.makemytrip.com/flights/
ayananshu,"Kolkata, India",Its better not to send the copy of your credit card. If at all you need to send then cover the expiry date of your credit card.Its better not to send the copy of your credit card. If at all you need to send then cover the expiry date of your credit card.
bhanu s,raipur,"My experience with makemytrip is more then worse i booked a tour with them they have given that whole package a name himanchal package. I got a cab from delhi they promised me an AC cab AC was their but onyl for name, even when we entered in himanchal driver just shut down the AC answer was hill area but this was not told to me by make mytrip. when we riched to shimla they booked the hotel snow park pathetic hotel.Dont book that pathetic hotel food is worse and staff has no manner perticuler the reciptionist who was a male their, they told you to show the rohtang pass but cab will charge extra 3000 for that . My booking was a mistake with makemytrip. dont refer it never ever go with the agent whome you know and from where you can take back your monery. Beware from the hotel snow park shimla.My experience with makemytrip is more then worse i booked a tour with them they have given that whole package a name himanchal package. I got a cab from delhi they promised me an AC cab AC was their but onyl for name, even when we entered in himanchal driver just shut down the AC answer was hill area but this was not told to me by make mytrip. when we riched to shimla they booked the hotel snow park pathetic hotel.Dont book that pathetic hotel food is worse and staff has no manner perticuler the reciptionist who was a male their, they told you to show the rohtang pass but cab will charge extra 3000 for that . My booking was a mistake with makemytrip. dont refer it never ever go with the agent whome you know and from where you can take back your monery. Beware from the hotel snow park shimla."
Ashish T,Guangzhou...,Spoilt my trip complately .. Try to avoid and be cautious with them.Spoilt my trip complately .. Try to avoid and be cautious with them.
Anil258,"Bangkok, Thailand",Once I booked with a ticket from Mumbai- kochi and when reached the air port the flight was cancelled! Then I have to purchase another ticket.after that I never used such services just buy tickets from the airline website
Anil258,"Bangkok, Thailand",Once I booked with a ticket from Mumbai- kochi and when reached the air port the flight was cancelled! Then I have to purchase another ticket.after that I never used such services just buy tickets from the airline website
Anil258,"Bangkok, Thailand",Once I booked with a ticket from Mumbai- kochi and when reached the air port the flight was cancelled! Then I have to purchase another ticket.after that I never used such services just buy tickets from the airline website
Chinthan Y,"San Jose, California","MMT has been the worst when it comes to service. Out of my 3 times of doing business, I have had bad experience for 2 times and I have decided not to do any business with them anymore.I booked for sterling resorts yercaud through MMT and when i reached the resort there was no room ready and after fighting with resort I finally got the worst room available. MMT did not help me from beggining to end inspite of repeated calls for help. After coming back when I said I would take them to consumer court, they agreed to refund me half the money through vouchers which i can use for my next booking.In second incidence, I booked Amazing Ladakh package for my parents and this time they didnt send me invoice after payment and when i called their customer care, it repeadtely got disconnect or I got rude replies or fake promises saying they will ask the person who has made my booking to call me back. They are not even ready to send my flight tickets 3-4 days before trip date or help my parents get it from some person in Delhi. Customer care person are very rude and say its none of their headache. Very unfriendly and not helpful attitude of theirs has made me decide not to do business with them ever again."
mukul_lex,delhi,"They are fraud no 1 , debited amount from my account and gave error message after that....afterrunning from pillar to post for 15days they are still sitting with my money.They are fraud no 1 , debited amount from my account and gave error message after that....afterrunning from pillar to post for 15days they are still sitting with my money."
liquidcool,Dublin,"Hi,  Has anyone used this website before? They are asking me to send them a scanned copy of my credit card even though they have already taken payment for the tickets. Seems dodgy. Any thoughts? Hi,  Has anyone used this website before? They are asking me to send them a scanned copy of my credit card even though they have already taken payment for the tickets. Seems dodgy. Any thoughts? "
Niladri R,"Kolkata, India","I had a very exciting experience just by making online hotel booking through MakeMyTrip.com, which I would like to share with you all.I booked 3 hotel rooms at Darjeeling - Booking Date: Sun, 08 Jul '12, 00:06 hrs and I got the following message.""Kindly note, your booking is CONFIRMED and you are not required to contact the hotel or MakeMyTrip.com to reconfirm the same.""I called up hotel for some queries on 11 Jul '12, 11:00 hrs, and I was informed that they have received no reservation information from MakeMyTrip.Immediately I logged into my MakeMyTrip account and found my reservation has been promoted to WAITLISTED status, with the following details.‘There have been some changes in your existing booking. We apologize for the inconvenience and request you to give us a call at our customer service number 1-800-102-8747 to enquire about latest booking status for your booking’Note: Till now I have received any communication about this sudden reservation status change from MakeMyTrip through SMS / eMail / Phone.I called up MakeMyTrip customer care 10 times, was lucky enough to get through to an agent on 11 Jul '12, 11:30 hrs, where they kept he on hold twice (5 minutes waiting time/hold), finally the agent mentioned their was some bla bla bla which she had no clue and I will receive a call within 45minutes from another agent.I did not receive any call, and I called them again on 11 Jul '12, 19:00 hrs, this time the agent also told me that my booking will be confirmed and I will get a call within 40minutes.And you guessed right, I did not receive any call. Then on 12 Jul '12, 12:00 hrs, another agent called me for a different purpose, feedback on my customer call experience. After hearing me out; she sounded so concerned and assured me that someone will be engaged to resolve my issue.Alas!! My reservation still stays waitlisted and MakeMyTrip only assures you that they are concerned when you call them up, and asks you this question – “In a scale of 0 to 10, 0 being the lowest, where will you rank MakeMyTrip about your experience and recommend others to avail MakeMyTrip services?” :-)=: HORRIBLE MEMORIES UNLIMITED :="
SuhanaKalra,New Delhi,I had to travel from Mumbai to Delhi to attend an urgent business meeting and was looking for fine deals on air travel. All the websites and travel agents were asking exorbitant sums of money for the tickets when I stumbled upon MakemyTrip. I not only got cheap air tickets</a></b> from this site but also won a gift voucher! http://www.makemytrip.com/flights/
samvriddhi g,gurgaon,"Makemy trip is the biggest fraud in the travel industry, specil mention to their money back gurantee. The promote hotels without doing a actual survey of the hotel. All they care is the transaction , once you have transacted you have fallen in their trap, be very sure of what they offer and what you boook never ever trust them.I will be filing a written complaint against Makemytrip for promoting hotelswithout actually verifying the hotels.The hotel Sonar Bangla is the worst place for stay and make my trip ispromoting it with a 100 % guarantee of refund.I had booked 2 rooms for 2 days, but given the situation I had tosimply find an alternate location which have resulted in unwantedexpenses in medical, transportation and alternate hotel.The hotel does not have water supply, they don't bother aboutcleanliness and hygiene. There are cockroaches and insects all overthe place.The property is isolated and poorly maintained , its more of a haunted house then a hotel.The only source of water is the rain water which is stored in the mostunhygienic condition in an open storage tank.They don't even have a proper kitchen, its filthy dirty and the foodis cooked in the same water taken from the open storage tankThey do claim that they boil the water for cooking but one has to takejust one spoon of the food the picture is clearer.4 out of 5 family members have suffered severe stomach infection, postwhich we had no choice but to look for an alternate venue.Attached are some pictures which I have taken as evidence, hope thismakes some sense for you guys.Despite the money back gurantee, make my trip refuses to acknowledge the complaint and admit the wrong for them its only money.I suggest pls do your homework before you foall for their gimicks and once you fall there is nothing like customer care its - kast se mar..."
DrPradeepBakshi,Ahmedabad District...,Absolutely safe. I travel extensively on business and book like 50-100 flights a year on MMT using my Indian credit card.Pradeep.
DrPradeepBakshi,Ahmedabad District...,Though I have NEVER done any of my 4 visits to Ladakh with them.Pradeep.
fongerdonger,Los Angeles,DO NOT USE THEM?! SCAMMERS!! Notice the other replies that tell you it's okay? They're all from India which makes me suspect they're employees of the company. I used them whilst in India. They called me the day before my flight to tell me that my there was a problem with my credit card and I needed to buy a new seat on a different flight. Were persistent that I give them my credit card. Turns out they were lying and this is a common scam. Happened to my brother in law who fell for it.
SuhanaKalra,New Delhi,Cheap Flights Saving money is very difficult and my job asks me to travel to different places around India. Air travel is what I chose because of time constraint and MakemyTrip helps me with cheap flights tickets. This site is must for every traveller. http://www.makemytrip.com/flights/
DrPradeepBakshi,Ahmedabad District...,"Absolutely true, Suhana. I must have done like a 100 flights with them, always using my credit card. Super service, VERY VERY reliable, great HelpLine. Even refunds are very prompt & I get instant updates by SMS. I had, in the past, also tried some other big names on the internet but none as good. And I am NOT an employee of MMT nor do they pay me for writing this (search for ""Dr. Pradeep Bakshi"" on LinkedIn.com to see my profile).However, I will not suggest that you do Ladakh with MMT or any other big name because they offload you to the locals. Better to use local agents in Leh.Pradeep."
udaipurmagic,"Udaipur, India",For a flight booking check the cancellation or amendment. Policy in adavance before you book with any of them. I mostly use cleartrip but also MMT or Travelocity or direct airlines websites wherever. I get cheaper flight tickets but i check the cancellation /amendment. Policy. i suffer only once when i booked Mumbai Delhi flair tickets and later flight rescheduled and paid 5000/- extra to take earlier flight of goair if there is any problem with MMT you can make a new post and MMT customer. Care always comes to short out .
Raghu S,"Newark, Delaware","DO NOT EVER GIVE YOUR CREDIT CARD INFO TO MAKE MY TRIP!We booked a hotel for two nights through makemytrip.com. When we arrived at the hotel, we discovered that makemytrip had only booked for 1 night. However, they had charged us for two nights. We can confirm this because the standard hotel charge was only half the amount. We ended up paying the hotel directly for the first night. Later, we called makemytrip, only to hear that they would reply within 72 hours, which they did not. We tried callling again later and nobody answers their phone. It is almost 3 weeks later and the money has not been returned. Makemytrip.com has cheated us out of Rs. 5500 and they are refusing to give it back. We would STRONGLY recommend that you go somewhere other than makemytrip, as they are not a reliable company.DO NOT EVER GIVE YOUR CREDIT CARD INFO TO MAKE MY TRIP!We booked a hotel for two nights through makemytrip.com. When we arrived at the hotel, we discovered that makemytrip had only booked for 1 night. However, they had charged us for two nights. We can confirm this because the standard hotel charge was only half the amount. We ended up paying the hotel directly for the first night. Later, we called makemytrip, only to hear that they would reply within 72 hours, which they did not. We tried callling again later and nobody answers their phone. It is almost 3 weeks later and the money has not been returned. Makemytrip.com has cheated us out of Rs. 5500 and they are refusing to give it back. We would STRONGLY recommend that you go somewhere other than makemytrip, as they are not a reliable company."
liquidcool,Dublin,"Hi,  Has anyone used this website before? They are asking me to send them a scanned copy of my credit card even though they have already taken payment for the tickets. Seems dodgy. Any thoughts? Hi,  Has anyone used this website before? They are asking me to send them a scanned copy of my credit card even though they have already taken payment for the tickets. Seems dodgy. Any thoughts? "
Raghu S,"Newark, Delaware","DO NOT EVER GIVE YOUR CREDIT CARD INFO TO MAKE MY TRIP!We booked a hotel for two nights through makemytrip.com. When we arrived at the hotel, we discovered that makemytrip had only booked for 1 night. However, they had charged us for two nights. We can confirm this because the standard hotel charge was only half the amount. We ended up paying the hotel directly for the first night. Later, we called makemytrip, only to hear that they would reply within 72 hours, which they did not. We tried callling again later and nobody answers their phone. It is almost 3 weeks later and the money has not been returned. Makemytrip.com has cheated us out of Rs. 5500 and they are refusing to give it back. We would STRONGLY recommend that you go somewhere other than makemytrip, as they are not a reliable company.DO NOT EVER GIVE YOUR CREDIT CARD INFO TO MAKE MY TRIP!We booked a hotel for two nights through makemytrip.com. When we arrived at the hotel, we discovered that makemytrip had only booked for 1 night. However, they had charged us for two nights. We can confirm this because the standard hotel charge was only half the amount. We ended up paying the hotel directly for the first night. Later, we called makemytrip, only to hear that they would reply within 72 hours, which they did not. We tried callling again later and nobody answers their phone. It is almost 3 weeks later and the money has not been returned. Makemytrip.com has cheated us out of Rs. 5500 and they are refusing to give it back. We would STRONGLY recommend that you go somewhere other than makemytrip, as they are not a reliable company."
udaipurmagic,"Udaipur, India","RASTRV,write a new post ..and we expect MMT to reply soon as this post is too longRASTRV,write a new post ..and we expect MMT to reply soon as this post is too long"
Aadinath,Delhi,Cheap Airline TicketsI have never encountered such fine deals in my entire life. Makemytrip has helped me get the best travel packages including the cheap airline tickets. Now I always save money while travelling by air. www.makemytrip.com/flights/airlines.html
udaipurmagic,"Udaipur, India",I hope MMT will shortout the matter of RASTRV soonI hope MMT will shortout the matter of RASTRV soon
udaipurmagic,"Udaipur, India",I hope MMT will shortout the matter of RASTRV soonI hope MMT will shortout the matter of RASTRV soon
Aabhas A,"New Delhi, India",Cheap Air TicketsIt is difficult to get cheap air tickets these days and this is what Makemytrip excels at. This provider has been my favorite travel planner for almost three years now and it is the best that I choose to go for. http://www.makemytrip.com/flights/Cheap Air TicketsIt is difficult to get cheap air tickets these days and this is what Makemytrip excels at. This provider has been my favorite travel planner for almost three years now and it is the best that I choose to go for. http://www.makemytrip.com/flights/
sun_aur_rain,USA,"I was going to my place of birth in India from the USA after 24 years. So I was very excited and planned a trip with my family and my brother's family in India many months ahead. I made reservations for 8 people on my credit card. They charged me for all 8 but left out 2 kids aged eight and ten - not sure how they expected the two kids to make and pay for their own reservations and join us later - completely ridiculous. I immediately asked for a full refund and cancellation of all tickets. The refund process was a complete nightmare - they involved exchange rate differences when tickets were booked and when money was refunded; cancellation charges etc. No one responded to my e-mails for more than 10 days. Due to time difference between the USA and India, it was difficult to get some one on the line. The few times I was able to, the person needed to talk to his manager and disappeared till the call dropped off.I would never recommend this service for people booking travel to India from outside the country. May be it works fine for people booking travel within the country. The best way is to book with the local airlines directly online, which I what I finally did without any issues. My worst online experience of booking travel and even after 7 months, I am still fighting with my credit card company for all the different charges."
Aabhas A,"New Delhi, India",Cheap FlightsIt was my vacation and I was thinking of heading to Europe. But it was difficult to get cheap flights in that time of the year until Makemytrip came to my rescue and made it all easy for me. http://www.makemytrip.com/flights/
