Customer,Date,Review
"Ganesh of India, India"," Sept. 28, 2018","I asked for the breakup of invoice amount as onward ticket cost and return ticket cost. The MakeMyTrip customer care did not respond properly and unilaterally closed the request saying that this is a single trip only and no cost breakup could be provided. Further, the staff asked me to book two different tickets to get breakup of invoice amount. MakeMyTrip technology is developed in such a way that cost breakup is not available on a roundtrip booking for sharing with passengers."
Yash of India," Sept. 21, 2018","We happened to book at MMT Assured hotel in Yercaud and had been planning this trip for a getaway from our hectic work schedule. The plan was to have one of the best trips with a group of friends and picked up alcohol and barbecue set to cook meat from Bangalore. Although, we did not know what we were in for was a worst getaway ever for the next 2 days, do read below to understand why: 1) The Hotel on arrival told us that they do not serve alcohol and nor do they allow alcohol to be consumed in their premises. 2) They also told us they serve only vegetarian food and on our request of cooking barbecue told us that is not possible."
Nitin of India," Sept. 20, 2018","I will write my full review about MakeMyTrip. I had seen one Nepal tour package of 6D/5N with flights and all day to day activities with private car and 3 stars hotels its was showing 27500+ INR per person. If I book for 2 travelers I would get 18500+ INR discount so I calculated my amount its was 36500+ INR + taxes so not more than of 40000 INR for 2 travelers. When I tried to book its was showing me 73600+ INR and after discount deduction its was 58600+ INR + taxes. This clearly show that MMT is just showing less price to attractive customers and when you checkout it would increase a lots. I did some more research and did individually than the Nepal tour with same day to day activities, car, hotels etc everything with taxes included was not gone more than of 37000 INR."
"Upasini of Mussoorie, Other"," Sept. 20, 2018","MMTBlack is advertised as a programme where you don't pay cancellation charges for your next five bookings. The money they refund goes into your MMT wallet, so you don't get the money back, but can use it for your next booking. I cancelled a Delhi Dehradun ticket Booking ID ** on 20th September 30 hours before my flight. I had paid Rs 2633 for my ticket - Dehradun to Delhi. Initially I wanted to change my ticket to a later flight and managed to talk to them, but they said the Black programme does not cover change in flight time, but I would get a refund if I cancelled. "
Ibrahim of United Arab Erimates," Sept. 18, 2018",I happened to book a international flight with wrong dates. When I understood the mistake and managed to re-schedule the travel date through the App and website it says call the customer support toll free number as re-scheduling cannot be done online. When called the customer support they re-directed to do online and say they cannot do it. Are you ** kidding? Do you think we are jobless scratching our ** off doing nothing? I have lost a day's pay off only because trying to call and get in touch with any travel executive of MakeMyTrip.com. And moreover this is not the first experience. Previously many times we have faced such issues. Never recommend this ** site for anyone I come across.
"Parul of India, Other"," Sept. 14, 2018",MMT cheats people by initially showing less price and while booking increases the price (excluding taxes). I'll never suggest anyone to MakeMyTrip. I wasted my time here for hotel room booking. And even tried to find ways to match the initial price and booking amount price but couldn't get success. LIARS MMT!! CHEATERS MMT!!
"Vikas of Other, Canada"," Sept. 10, 2018","To begin with, We got our travel vouchers after much followup, just a day before we were supposed to travel. Then MakeMyTrip forgot to inform our hotel what time we were arriving. We had to take a short flight from Male airport to our resort island. We were accommodated on the last flight to our resort which was at 11 pm. After travelling all night from India, changing several flights, we were told to wait all day at the airport for a short 20 minutes flight to our resort. We begged the airlines to help us and they said they would see if there are any seats on earlier flights. "
Sunil of India," Sept. 10, 2018","Recently booked a refundable ticket by paying 1000/- extra. After consulting customer care, they agreed for cancellation of one sector (JP-BLR) with refund of 8768/-. Actual refund received is 5468/-. This kind of frauds are not at all acceptable by any standards."
"Sheri of Sellersville, PA"," Sept. 5, 2018","I booked my flights through this company and my return flight was canceled by the airline. I bought insurance, which turned out to be useless and had to pay extensive fees to cancel the first flight. This company I booked through was no help to me at all, ignored me and didn't try to assist me at all. I can't even get in touch with them over the phone. The number doesn't work."
Arvind of India," Sept. 3, 2018",MMT guys are not providing the rooms in discounted price when their partnered hotels are providing. It is always better to verify the prices of their partnered hotels first directly rather than blindly booking from these travel sites. I have experienced such issue recently when I physically got to know during the stay at the hotel. The partner hotel were offering 50% discount but MakeMyTrip were charging their customers at regular price and were not ready to compensate for the same.
"Rajesh of Korba, IN"," Sept. 2, 2018","Undersign booked a cab through MAKEMYTRIP under BOOKING ID: **, in this transaction our views as under: Executive are not fully knowledgeable. They cheat to customer for booking. They confirm short distance but charge extra amount to every customer cab driver choose long way. Cab are not well furnished, cab driver misbehave to customer. For collecting the extra charge they cannot confirm roadmap. For any issue MakeMyTrip executive are not interested to clear the same time and disconnecting the telephone line. We strongly suggested to every gentleman do not book cab. bus, or other service provided by MakeMyTrip for any circumstances. We are fully against them."
Vijeta of India," Sept. 1, 2018","I had planned for a third tour with MakeMyTrip and this was again bad experience. We had planned our international tour and the team had rushed on the bookings and embassy visit without properly verifying the documents for embassy visit as they have a team who gives assistance. Our Visa got rejected and before that date itself we were rushed to make the full payment of the tour. Now we didn't had enough time to reapply as our tour date was after 8 days and due to which they asked us to either bear penalty if wanted to change tour date which was a lakh or whole the if we cancel the whole amount will go in their pocket. I had tried to reach all the team and without giving any justification from higher authorities they just say, ""Sorry. We tried best but couldn't do anything."""
"Lithuksha of Other, OTHER"," Aug. 30, 2018","Worst ever experience with MakeMyTrip. Experience is really bad right from the discussion with the executive. I actually booked the trip for my parents and I wanted to have more places to visit in every location that I am visiting. The places that I opted for are Delhi, Agra, Rishikesh, Haridwar and Dehradun. I have made this explicit initially itself but when the CS executive sent me the itinerary list for the locations that I asked for, she sent very minimal places for every location. Say 2-3 places at max. When I asked for more, it was too many to and fro to make her understand my requirement. Finally, I got frustrated and I came up with the full plan for 8 days and gave her. Her work is just to send this to the backend team to get the quote for it. The amount she quoted was bit high but I did not worry about it much. "
"Parul of Other, United Arab Erimates"," Aug. 30, 2018","This is regarding a taxi ride I booked via MakeMyTrip from Bharatpur to New Delhi Airport. I was visiting India so my friend Ansul **, who has an account with MakeMyTrip, made the booking online through his account. I am deeply distressed to report that it was the most horrible taxi ride of my life and I have lived and traveled extensively in India before. To make the situation even worse, I was traveling with a friend who was visiting India for the very first time and he was distraught & very disturbed with the entire experience and sadly left India with a very bad impression and feeling. Our pick up point was Birder's Inn Guest House in Bharatpur, Rajasthan. As soon as we got in the taxi we conveyed to the driver Vinod ** - ** [Cab No. **] that we needed to withdraw cash from an ATM to pay him and we did not need any specific ATM & any machine will do. He confirmed that he will keep that in mind."
"Manas of Mc Lean, VA"," Aug. 29, 2018",Half of the pages will take minutes to load and most of the pages will crash. When you start a transaction you will not be notified of any confirmation page but the transaction will be stuck in processing. You will be charged with you being notified of any completed transactions.
Pratibha of Other," Aug. 28, 2018","The car booking service of MakeMyTrip is horrible. I booked a car from Agra to Delhi for 26th August 2018. It was mentioned that I will get the driver details and car number two hours prior to my mentioned pick up time. But I didn't received any information, when I called the customer care, I use to talk to the concerned representative after long waiting and then use to wait for another 15 minutes for talking to their senior executives. Every time they told will get back to you in 15 minutes, but never called. After wasting more than 2 hours like this, and calling several times, finally they told no driver is available and I should look for alternate arrangement. I had a flight to catch from Delhi to Mumbai and accordingly I planned my travel. But at the last moment when I had to leave for Delhi they cancelled the ride. I had too much of problem to reach Delhi airport, very narrow escape in missing the flight. My experience with them was horrible!"
Kanchi of Other," Aug. 27, 2018","Booking ID: **.  Booking Details: Car. Issue Category: Service Complaint. Issue Creation Date and Time: 25/08/2018 11.52 AM. I booked cab from Delhi to Meerut round trip on 25th August 2018 for 26th August trip at 7:00 AM. Around 5:00 AM I got a message in which they shared the driver details. I tried to contact the driver around 20 times, but he was not picking up my phone. So, I called to customer care. After having a word with them they said, ""Give us few minutes. We will get back to you."" At 7:45AM they have arranged a different cab for me. Again, I tried to contact second driver and again he is not picking up the call. Around 8:30 AM. I called again to customer care and they are just repeating the one line “WE UNDERSTAND YOUR PROBLEM” how well you understand your customer problems I got to know this very well now. I asked them to transfer the call to their supervisor and they held my call on hold for 15 minutes. "
"Bikram of India, Other"," Aug. 25, 2018","I had planned to travel SHIRIDI, Maharastra on 12 August 2018. Before 1 week I booked my hotel. The hotel ""SAI PRATIK"" was booked for 3 nights as it was written on coupon. I reached there and asked for room. Immediately the hotel in charge told me that, ""Your room has booked for 2 hours, not for 3 nights and you can contact MakeMyTrip. We are not responsible for it."" Immediately I contacted MMT CC. They replied the same. I told them it has mentioned for 3 nights on Coupon. They were not ready to listen my words. One thing I felt very bad that MMT like top service provider company promotes the hotels who don't have such sense. And for that, I would demand total Rs 1600 should refund to my bank account. I will never ever book hotel in MMT and I would like to suggest to my friends, colleagues, families not to do so. Thanks."
"Prasanna of City,City"," Aug. 21, 2018",I booked my flight from Kochi to London. The airport is closed due to natural calamity. MMT simply canceled the ticket without providing an alternative options whereas other agent given me a call and provided alternative route options with zero cost change.
"Ram of City,City"," Aug. 20, 2018","In July I booked for Kerala trip during Aug 27 and made full payment. Due to Kerala floods the state is under Red alert and flights going to Cochin are suspended till Aug 26. I am requesting MMT that I cannot make trip to Kerala since it is unsafe with floods so requested full refund since the floods are natural calamity and no vendors ie cab drivers, hotels in Kerala are operating. But MMT is not giving refund and asking me to wait for few days to consider. Due to floods it will take few months to make Kerala back to normal. Here MMT does not care about safety of consumers and still charges full amount even though no vendor is operating. Please be aware that MMT does not care for consumers but still cares for their own profits."
"Falguni of Other, Other"," Aug. 20, 2018","I have booked for my Kerala trip 2 months back and I supposed to start my trip on 12th Aug 2018. I continuously call MMT for their guidance that how will proceed now as there is a flood situation in Kerala and it's not safe to go there. Even our family were worried. But MMT assured us that the places where you are travelling (Kochi, Alleppey, Thekkady, Munnar) are safe. Only Munnar is doubtful so they changed our itinerary and made it reverse and assured us that if we could not go to Munnar they will change that location even at last day of Thekkady."
"Anusha of Us, USA"," Aug. 18, 2018","Recently on 10th Aug 2018 while booking a flight from Mangalore to Hyderabad because of some process error my tickets were not confirmed, but my money has been debited from my account - 13,301. When checked with customer care, they said that my money will be credited within 3 working days, and it's been more than a week but my money is not credited. While trying to check with customer care there is no proper response. I'm not finding a proper contact to raise a complaint against MakeMyTrip. Pls help me."
"Asif of Thane, Other"," Aug. 17, 2018","I booked cab for 15th Aug 2 weeks before. 2 hours before the leaving time I got cab and driver's details. My leaving time was 10.00 AM. At 11.00 AM until almost for 30 mins I was calling this driver but no response. Later, I called MakeMyTrip to check and they said they will call back in 10 mins. Later after 10 mins I called them on which they said my cab got cancelled and they cannot find any other cab. Had a big argument with a guy named Shubham but of no use. They stuck to being sorry for last moment cancellation and I was the victim of their sorry. Last moment luckily I got Ola Rentals which saved my trip. Please do not ever book cabs from MakeMyTrip. Please pass on this message to others also."
"Nandini of Kolkata, Other"," Aug. 11, 2018","This is to notify that MakeMyTrip is a business with low customer cognizance and empathy, worst quality of customer service experience. I had recently booked a family trip to Kerela, India with the booking id - **. Kerela is flood hit and on red alert and I am scared to travel there with my family, I had a limited time of which I wanted to travel and my dates were fixed. "
"Apoorv of Faridabad, Other"," Aug. 5, 2018","I would like to lodge a complaint against MakeMyTrip website android app. I tried to book a flight from Delhi to Singapore and it showed me rs 61766 will be charged on your credit card at the time of payment and entering otp for 3 flight tickets for my family. However it charged rs 65766 after the payment was successful, now they are saying we cannot do anything about it as this is the charge showing to them."
"Vijay Kumar of Bhandup West, Mumbai - 400 078, Other"," July 27, 2018","I had booked holiday package with MMT to Gangtok-Lachung-Darjeeling from 2nd June for four members of my family. Upon reaching Gangtok I found that my hotel booking at Gangtok was cancelled by MMT as a result of some miscommunication amongst MMT staff. Myself and family was made to wait at hotel reception for 2 hours. There was no help coming from MMT tour coordinators, despite numerous phone calls to them. It was horrifying experience to my family members that too in an unknown place. In the end I had to take my own initiative to find alternate hotel room during a busy season. Upon my return back I claimed refund for hotel charges and MMT refused to give me the refund for hotel charges."
"Neeraj of Jaipur, Other"," July 24, 2018","I booked Ramada Plaza Agra on 2 July through MMT, I had taken a twin bedroom since we had two children with us. I called up MMT and asked them to put an extra bed request for the same booking, the executive who picked the phone sounded very courteous and he said that let him talk to the hotel, after confirming with the hotel he said that they have agreed to put an extra bed without any cost in the room. I was relaxed."
"Vijay of Guntur, Other"," July 22, 2018",I was searching a Sea Breeze Resort in AP. There was a link below the search of MakeMyTrip. After clicking and booking I realised it was the wrong address booked within 10 mins after booking. After calling and MakeMyTrip says it cannot help. My money of 2700 was lost. MakeMyTrip is worst customer care. Will never book with them again. They don't want to rectify the problem and just think of their money.
"Priyanka of Patna, Other"," July 11, 2018",The customer care services are not doing anything for you. They are totally helpless for us. They know only deduction. Very poor service they provide. Their charges are very high than any other sites. They only make us fool.
"Divya of Chennai, Other"," June 26, 2018",I booked an international holiday package using my SBI debit card because I was told that I would be eligible for 10% cashback since my booking was above 1 lakh. But now they are blaming the bank for rejecting it. As per bank there was no amount requested to be forwarded to my account. Neither was SBI card department aware of any such cashback when I enquired on their helpline. Please do not use it for your trips. Absolutely worthless!
"Som of Bengaluru, Other"," June 22, 2018","I did my hotel booking on MMT for October, but got the confirmation for July. Immediately spoke with the customer care and they told technical issue. Then told not able to contact the hotel authorities. Every time they use to keep me on hold when I am reaching them. Pathetic customer care, I am raising the issue but they are closing the case without talking to me. Paid almost ₹10,771. Fraud company everyone aware of this. Reference ID:[**] . Mani **, close my issue without talking to me. Aishwarya **, didn't solve my problem but marked as a solved."
"Anand of Gandhinagar, Other"," June 21, 2018","After reaching Hannover, we hired a cab for the address mentioned in the Booking Details (PFA 1). While reaching to Gottinger Chaussee, we were just unable to find the ""3012"" apartment. After an hour we were stupefied and astounded to know that there is NO APARTMENT with 3012!! After pulling ourselves together we decided to go back to railway station and ask someone for help. Over there, the DB Kiosk came to our rescue out of this mind numbing shock to us. They spent some time and finally found the actual name and number of the owner of the apartment. They called the owner and asked for the address and finally got the correct address. "
"Maharshi of Vadodara, Other"," June 21, 2018",Our return tickets from Frankfurt to India were wrongly cancelled without informing us or even consulting the flight company Fly Emirates to know the reason of why we didn't board the flight. Mind you that it is mandatory for MakeMyTrip to consult the concerned Airport before updating the status/reason of the flyer to boarding the flight. If they would have consulted the Airport then nothing of this had happened and our return ticket would be smooth without having to pay any NO SHOW charges. Now the airport updated the status to OFFLOAD of two (out of three) members of our trip. But MakeMyTrip marked it as NO SHOW. This caused all the issues making our return trip a dreadful nightmare. NO SHOW at Ahmedabad caused our return tickets to be SUSPENDED from Frankfurt.
"Shireesha of Rayadurgam, Other"," June 20, 2018",Need to wait hours together for resolving issues with regards to cancellation. App features are very dissatisfactory where we don't even see booked history of tickets. Don't dare to use MakeMyTrip ever in your life. Uninstall and forget that there exists something called MakeMyTrip in life.
"Narinder of New Delhi, Other"," June 17, 2018",I stayed at Golden Tulip booking id: ** as assured hotel by MakeMyTrip and if my problem is not solved in 60 minute then they will return back my money but I had very with makemytrip and hotel. First when I had booked deluxe room with king size with makemytrip but instead of king size I was provided twin sharing room but when called makemytrip hotline no messages send by makemytrip states that “Your Hotel Golden Tulip Hotel Amritsar Suites is covered under MMT Assured Guarantee. You can call Hotline 18001028747 in case of any issue. Resolution within 60 minutes or Money Back.” After calling this no. I was assured that my problem of king will be solved in half an hour but after calling many times nothing happened and secondly the assured hotel doesn’t have wifi working as their server was down and breakfast was worsened than my life.
"saumitra of Agra, Other"," June 11, 2018","I have booked cab for 11th June-18 7 AM. Before three days, MakeMyTrip has shared booking ID and e-ticket which state clearly that before two hour of my ride, cab and driver contact no. were shared but till 6 AM I didn't receive any message or mail with such detail, I called on customer care but no executive reverted me, a radio repeating that, ""Your call is important for us. Be online."" So by having consider it tentative, I have booked cab with other vendor with expensive price as I was booking on immediate basis, but at 7 am driver called me from MakeMyTrip. "
"Karan of Ajmer, Other"," June 11, 2018",Worst services ever! Seriously worst! The driver was so annoying and rude and literally he didn't know how to drive and he blamed us for every potholes and traffic just because he was unable to tackle the traffic! The driver name is Alol ** or Hariom as he had two names for company and for customers car number was ** SWIFT DZIRE! The booking was done for 8 days Manali Kasol and Dharamshala and the very second day driver refused to take us even at the paragliding site. He said he would only take us till mall road Manali and drop at hotel. That's it! 
"Monika of Ajmer, Other"," June 11, 2018","WORST CAB SERVICE MAKEMYTRIP (we booked round trip Delhi to Manali). MakeMyTrip arranges cab services from different VENDORS, and doesn't has its own cab services. We booked a cab for 8 days, round trip from Delhi to Manali. The TERMS AND CONDITIONS, are not conveyed properly to the vendors. There are extra night charges of rs.250/night, if we use the cab POST 9 PM TO 6 AM, but the driver asked for all 8 nights charge, even when he was sleeping and not driving. MakeMyTrip FOOLS YOU, they gave us a package of 2000 km in rs.17064, rs8.5/km, I confirmed with MR. ** (one of the employ in MakeMyTrip cab customer care) if we could go from Delhi to Manali to Kasol and then back to Delhi, he said he has confirmed from the vendor AHA TAXIS, and yes we can go to Kasol. But when time came, the driver refused to go Kasol saying the cab is booked from Delhi to Manali and he will not go outside Manali. "
"Siddiqua of Mumbai, Other"," June 8, 2018","Starting off...June 2016, I cancelled 4 tickets, Mumbai to Goa and back. For which I haven’t yet received a refund of 15000/-rupees! Fraud company. 2018, foolishly, thought they improved and tried booking into flights from Mumbai to Bangkok. Duped again of almost a lakh and yet again tickets aren’t booked! They claim to have automatically sent the amount for refund on 5th June. Apparently! Been receiving emails from them stating the same. Today, on 8th June, received an intimation from my bank, that the money has been claimed! And sadly, my tickets haven’t been booked!"
"Pratik of Pune, Other"," June 4, 2018","Recently I travelled to Hyderabad from Pune with my girlfriend, we had already book a room at Hotel Sandhya, Lakdi Ka Pul for 2 days, upon reaching there we have been refused to stay at the hotel saying unmarried couples are not allowed, however it wasn't mentioned anywhere on the MMT website. Hotel manager asked us to talk to MMT customer service, upon calling them multiple times, MMT representative was putting our call on hold for hours and it took them 3 hours to call me back and we were standing on busy street by this time, at the end representative simply apologies and initiated the refund which I didn't get until date."
"Khushbu of Baroda, Other"," June 1, 2018","I’ve booked Cab under SUV category from Nizamuddin railway station to Manali. They were promising Innova/XYLO, or similar SUVs. But when we reached station they sent Honda Mobilio (compact mini van-MPV) and that too was not in good condition. When I called to complain about the issue then they said, ""Sorry we can’t do anything. It is not our fault and we won’t change the car at any cost."" I didn’t expected this kind of behaviour from MMT. The other Local Cab service provider were providing INNOVA at 8500, but I booked MMT cab with high expectation with more cost, but they failed at very first. I am highly disappointed with my 1st experience of cab booking with MMT. I will raise this issue forward, and I won’t recommend MMT cab booking to any of my contact."
"Ganesan of Coimbatore, Other"," May 30, 2018","Recently I booked a ticket for myself and my wife who are both senior citizens. The airlines is Air India which offers senior citizen concession fares. But, MakeMyTrip.com did not give us the concessions and are telling that it is their policy. Not only this but also in international ticket booking they have cheated me."
"Suman of Midnapur, Other"," May 27, 2018","I had booked a bus ticket through MakeMyTrip on 23rd May-18 which I want to cancel, but unfortunately the same is not visible under ""Trip"" section. Tried numerous times to contact their customer care, but no one picked up my call. Finally I sent them mail to cancel my booking, but not received any response. They are simply cheating consumers, don't book through their website."
"Manjinder of Tanda Urmar , Punjab, India, Other"," May 26, 2018","Very very very bad service, I booked one room for three guests at Red Fox Hotel Chandigarh for 25/5/18 on 24/5/18, but by mistake room was booked for 24/5/18 in spite of 25/5/18. I realized about the fact within 10 minutes of booking and requesting many times to MakeMyTrip support holding phone for hours continuously in waiting but no response from support, called the hotel about the fact immediately, they said contact the MakeMyTrip."
"Ceema of Haryana, Other"," May 19, 2018","I booked a cab service through app and was fully charged straight away. I got no confirmation. I would not get through on phone calls as without ref number it won’t allow, wasted hours online trying to mail support team, making calls no joy. The trip was early morning the next day so could not even rebook until the morning just in case the confirmation turned up, called in the morning offices closed, then had to call as a new booking inquiry to get through."
"Sunil of Pune, Other"," May 18, 2018","Booking foreign trip with MMT will be horrible experience. Please do not think of booking any trip trip with MakeMyTrip. Executives are inexperienced, not knowing what they are quoting for. It was nightmare to book Thailand trip with MMT. I booked land to land trip from Phuket to Phuket for my family of 4 members. It was completely unorganized. Only accommodation was good, which you can book yourself better than MMT. Local trips were wrongly arranged. Two days were wasted in only for 2 hours travel per day. Accommodation was 4 stars and local trips were 3rd class."
"S. K. of Pune, Other"," May 5, 2018","I am very upset with MMT Cab services. I will suggest never to take Cab services of MMT. Lot of hidden charges and they tell you on last moment. For e.g Road Tax, Road tax they collect from us for no reason. When I enter into another state, government of Karnataka clearly told, Road tax has to be paid by Car owner and it is Yearly charges. MMT cab services and collected from us and made us fool. There are lot of hidden charges such as driver charges etc. etc. I have bad experience with MMT, even what I booked and asked for never got it. Bad Journey."
"Manish of Amloh, Other"," May 3, 2018",That from the date of enrollment in the MMT Double Black scheme... I have not seen any benefits of enrollment. Instead the Application has stopped to show the hotel rooms for non-refundable prices (because the tariff (price) of non refundable rooms are less than refundable rooms) which in the terms and conditions of the scheme is specifically mentions that the scheme includes the non-refundable domestic hotel bookings and domestic flight bookings... THEY HAVE INTENTIONALLY FRAUD CUSTOMERS.
"Brig of Jhansi, Other"," May 1, 2018","I had booked an air ticket through makemytrip.com, in GOAir Flight from New Delhi to Lucknow, to travel on 23 Apr 2018. The PNR/Booking reference was **. I cancelled the ticket directly from the airlines on 21 Apr. They indicated a refund of Rs 914.00. However, since the refund was not credited to my account, I contacted the airlines, which told me that the refund has been sent to makemytrip.com and they should be contacted."
"Ritu of New Delhi, Other"," May 1, 2018",We had booked two tickets (flight and hotel) via MakeMyTrip to visit Amritsar. One of the names it was booked for was stated as Ram **... the actual name is Ramnarain **. Upon realizing this we contacted the agent at MakeMyTrip who completely washed his hands off and we were told to contact the airlines directly. When we contacted the airlines to make a change we were told to contact our agent and that the agent should be able to change it. 
"vageesh of Mohali, Other"," April 30, 2018",On reading about waiting charges in the rules I had contacted the helpline in advance that in case my flight is delayed what will be the case. I was assured that in case of flight delays if I inform the driver beforehand they won't charge for waiting. And our flight was delayed by 2 hours and now the driver is charging RS. 240. For waiting. Then since now we would reach after 9 pm the driver will charge additional 250 for night. And he is asking for additional 150 for airport entry. This is the worst cab experience ever. It really needs to be checked. I advise not to waste money in booking cabs with MMT.
"Pranav of Pune, Other"," April 30, 2018","Booked a flight for Dubai, MMT was running an offer of 1500 cashback on HDFC Credit card if the booking is made on a Thursday using code HDFCINT. I did the same, booking was for 14500 INR and expected cashback was 1500. Tickets were available @13500 on the official website but to save 500 INR I chose to book through MMT and that was my mistake to fall into their lure and cheat trap. After no cashback was credited, I mailed their customer care and they sent me a screenshot saying no code was applied from my end! The worse part is there is no proof to actually make my claim as they didn't mention anything about HDFCINT code in any of the bookings mail they generated, only proof was to take a screenshot of the booking page and who does that? We trust the company. Now I am paying 14500 INR for a ticket which would have otherwise cost me 13500 if I booked through official website."
"Ashish of West Delhi, Other"," April 25, 2018","My references number of train booking with MakeMyTrip is **, I had received the confirmation from MMT at 10.32 am but till now there is no confirmation from MMT side about my seat and coach number. It is more than 45 mins and still there is no confirmation from their side. Tried calling their customer care but it only provides information about bus booking. I'll never recommend anyone to book Tatkal tickets from MMT in any case. They don't have value of your time. Now when I checked on IRCTC it shows waiting list of 50 and I can't even cancel my ticket with IRCTC or MMT."
"Shivinder of Bangalore, Other"," April 23, 2018","Drivers have liberty to lie, make passengers wait. The driver assigned for this trip calls us and tells to wait for another cab with different driver as he himself is ill. The cab arrives more than 2 hours late at Chandigarh Airport. He takes us to Shimla, 70km before the destination and asks us to pay him half the amount and take another taxi, when we objected he made us wait for 30 minutes in Shimla while he was making phone calls and arranging another cab giving the reason that this is not his routine route and he isn't comfortable driving. The second driver comes and charges us more as he isn't concerned about our booking from MMT, he takes us to 3 kms before our destination and asks more money to drop us to hotel as it was 11 PM to which we agreed after a heated discussion, we informed our hotel about the incident and they had already come halfway of the last 3km to pick us up and we shifted to hotel's vehicle. "
"Rahul of Pune, Other"," April 22, 2018","I have booked a flight from Pune to Delhi on 19th April with Rs5400. On the next day I got a message that your request for cancellation is being processed. I have not requested for any cancellation. When I talked to operators, I came to know that someone from Canada's IP address has accessed my account and cancelled it. Only I know about my credentials. MMT's website is so weak that someone can access my account from different country. Looks like someone has used my id-password from their database. So it is MMT's fault not mine. I told MMT people that you got the proof that I have not requested for any cancellation, so you should give my money back. They are just refunding me 1600 which is even less than one third of the actual amount. I just want my money back as it's not my mistake."
"Sam of Act, Other"," April 17, 2018",Please do not book anything from MakeMyTrip. I had multiple nasty experiences. Agents are bunch of fools who does not coordinate or follow up with the case. They do not give your money back even if the problem is from their side or at their end. Very upset with this travel agent. One of the recent experience I would like to share is on 3rd of April 2018. I tried booking a flight for my parents on TruJet for the date 05-04-2018. I tried to do the booking using my mobile app. Then the page got stuck at the payment. We did not received any confirmation or booking ID either by email or by SMS but the amount of rupees 8139.00 has been debited from my bank.
"Aparajita of Bangalore, Other"," April 16, 2018","Worst ever experience with MakeMyTrip agency. Through their website based on their most recent scam of pay at hotel not advance, I booked a hotel for two days knowing that I can pay when I check out. So I booked it at Rs0/- on their website for Rs6635/- for two days. When I check out, nowhere was it non-refundable Rs.0/- not for Rs.6635/-. So I wanted to check out one day before, I need to pay for one night only but hotel staff refused to speak to me saying that MakeMyTrip would have to drop a mail to them. I called MakeMyTrip, they had no idea what to do, called the hotel, talked and they said that even though I don't stay at the hotel I have to pay the full amount. Say bogus move right, I should be able to pay the charges for one night not the other days I don't stay in. "
"Pritesh of Pune, Other"," April 11, 2018",This is going to be my last booking with MakeMyTrip. Took 15 days for a date change. I requested a date change on 26th March 2018 for a hotel booking in July 2018. Initially they gave 72 hr resolution promise. But that's plain BS. Every time I had to call them myself to ask about update and every freaking time they asked to wait for 24 hrs. I had accepted their extra charges right away but they are utterly useless bunch of people sitting there. They don't write you email about the promises. If the request resolution is delayed they give you Rs. 1000 wallet cash that is of no use. Because you can only use 5% at a time for booking at it gets expired before even your request is resolved!!! MakeMyTrip was much better before. Now it is going downhills with no hopes of returning.
"priya of Hyderabad, Other"," April 8, 2018","Donate to a cause for a value of 5 rs was added to my invoice without consent or confirmation from me and with no option to remove it. This is an absolute outrage. I have no problems donating when I'm given a choice or my when my permission is taken. However, adding the amount to my invoice and forcing to pay it during my booking is a violation of my rights. This unpleasant detail has prevented me from using their services on principle and I will not be using MakeMyTrip in the future and will advise my friends and family against it."
"Nagarjun of Arakkonam, Other"," April 8, 2018","Hi. I'm Nagarjun. I booked my bus ticket from Chennai to Bangalore at 6th March 2018. My Booking ID is **. The bus operator cancelled my trip due to bus mechanism issue. He didn't arrange alternative bus also. And he told, “You’re will be refunded within 2 days.” But still I didn't get my refund amount. I called more than 10 times to MakeMyTrip customer support. He didn't respond me and didn't arrange for justice. I don't know where is my money gone. Very worst customer support. I request you to all don't use MakeMyTrip. Waste of time and money."
"Mukesh of Ludhiana, Other"," March 28, 2018","Booked 6 Nights in Pattaya through MakeMyTrip and it was very dirty and greasy bathroom. Called MMT. No help. In 4 hours had to check out. No help. While on a trip or on stay with MMT, and book another hotel. On the spot asked for refund of my booking where have not stayed even a single night... booked all hotels and flights through but after 8 days of this matter Makemytrip said, ""No refund."" It is Makemytrip’s responsibility if any customer getting any problem with the hotel, flights or any holiday booked through them, but they back off from their policy and terms conditions, they should have told me on the same time not to check out as this will not be refunded but after 8 days said, ""No refund."" Pathetic customer service, poor quality policies and not secure to use them. TripAdvisor, Booking.com and Hotels are far far better options."
"Srividya of Bangalore, Other"," March 23, 2018","I booked Dubai Flights for 10 people, I was said use HDFC Card and get Rs.10,000/- cash back for this transaction. It's been two months since I have booked and have called, mailed numerous time only to be answered with get back in 24hrs and the ticket gets resolved by itself. They also converted my Payment to EMI and both MakeMyTrip.com and HDFC were not bothered to inform me about it. I am now charged with Interest & Fee. This issue is still not resolved."
"Bharath of Bangalore, Other"," March 22, 2018","I had booked ticket to travel Dubai and by mistake I had mistake on my name, which MMT didn't help me to resolve till the last day of travel. They have standard answer as ""Backend team will call you"" and ""You have to wait for 2-6 hrs to get resolved"". I had waited. Calling on daily basis asking about change request which never happened. Guys don't waste your money and time just for some perk provided by MMT. MMT support will spoil your trip Vacation, don't go with MMT."
